Starting up run ID 5D58BD, poll time is 5m, back testing is True
Starting up run ID D38945, poll time is 5m, back testing is True
Starting up run ID 25C059, poll time is 5m, back testing is True
Starting up run ID C69DC6, poll time is 5m, back testing is True
Starting up run ID D240F8, poll time is 5m, back testing is True
Starting up run ID 15C73D, poll time is 5m, back testing is True
Starting up run ID 2FDD18, poll time is 5m, back testing is True
Starting up run ID 8E854A, poll time is 5m, back testing is True
Starting up run ID B5E1E0, poll time is 5m, back testing is True
Starting up run ID 99EEB7, poll time is 5m, back testing is True
Starting up run ID AB202A, poll time is 5m, back testing is True
Starting up run ID D019E9, poll time is 5m, back testing is True
Starting up run ID 254810, poll time is 5m, back testing is True
Starting up run ID 49BA7F, poll time is 5m, back testing is True
Starting up run ID D815AC, poll time is 5m, back testing is True
Starting up run ID E2D832, poll time is 5m, back testing is True
Starting up run ID F91DBC, poll time is 5m, back testing is True
Starting up run ID F830F4, poll time is 5m, back testing is True
Starting up run ID 6A85A1, poll time is 5m, back testing is True
Starting up run ID 9C374D, poll time is 5m, back testing is True
Starting up run ID 72B8E2, poll time is 5m, back testing is False
Finished analysing 2022-05-26 17:55:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:30:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:40:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 18:45:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:50:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 18:55:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:15:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 19:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:30:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:40:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:45:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:50:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 19:55:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:00:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 20:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:20:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:30:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:35:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:40:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:45:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 20:50:00+00:00, sleeping for 294.0s
Finished analysing 2022-05-26 20:55:00+00:00, sleeping for 292.0s
Finished analysing 2022-05-26 21:00:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 21:05:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 21:10:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 21:15:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 21:20:00+00:00, sleeping for 291.0s
Finished analysing 2022-05-26 21:25:00+00:00, sleeping for 293.0s
Finished analysing 2022-05-26 21:30:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 21:35:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 21:40:00+00:00, sleeping for 289.0s
Finished analysing 2022-05-26 21:40:00+00:00, sleeping for 289.0s
Finished analysing 2022-05-26 21:50:00+00:00, sleeping for 289.0s
Finished analysing 2022-05-26 21:55:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 21:55:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:05:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:10:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:15:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:20:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:25:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:25:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:35:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:40:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:45:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-26 22:50:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 22:55:00+00:00, sleeping for 287.0s
Starting up run ID F69BA0: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-26 22:55:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-26 23:05:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 23:10:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 23:15:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-26 23:20:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-26 23:25:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-26 23:25:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 23:35:00+00:00, sleeping for 288.0s
Finished analysing 2022-05-26 23:40:00+00:00, sleeping for 285.0s
Finished analysing 2022-05-26 23:40:00+00:00, sleeping for 285.0s
Finished analysing 2022-05-26 23:50:00+00:00, sleeping for 285.0s
Finished analysing 2022-05-26 23:55:00+00:00, sleeping for 282.0s
Finished analysing 2022-05-27 00:00:00+00:00, sleeping for 283.0s
Starting up run ID E675B1: interval=5m, back_testing=False, real_money_trading=False
Finished analysing 2022-05-27 00:05:00+00:00, sleeping for 247.0s
Finished analysing 2022-05-27 00:10:00+00:00, sleeping for 298.0s
Starting up run ID 065AA0: interval=5m, back_testing=True, real_money_trading=False
Starting up run ID E535EC: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-27 00:10:00+00:00, sleeping for 295.0s
Finished analysing 2022-05-27 01:20:00+00:00, sleeping for 126.0s
Finished analysing 2022-05-27 01:25:00+00:00, sleeping for 287.0s
Finished analysing 2022-05-27 01:25:00+00:00, sleeping for 286.0s
Finished analysing 2022-05-27 01:35:00+00:00, sleeping for 285.0s
Starting up run ID 9949B6: interval=5m, back_testing=False, real_money_trading=True
